subjects,mean_distances,stddev_distances
YR04_01_DESS_prep_fc,0.56,0.84
YR04_02_DESS_prep_fc,0.68,1.14
YR04_03_DESS_prep_fc,0.53,1.06
YR04_04_DESS_prep_fc,0.45,0.73
YR04_05_DESS_prep_fc,0.43,0.68
YR04_06_DESS_prep_fc,28.14,17.62
YR04_07_DESS_prep_fc,0.59,1.33
YR04_08_DESS_prep_fc,0.57,1.05
YR04_09_DESS_prep_fc,0.0,0.0
YR04_10_DESS_prep_fc,0.86,1.7
YR04_11_DESS_prep_fc,0.84,1.34
YR04_12_DESS_prep_fc,0.63,1.09
YR04_13_DESS_prep_fc,0.58,1.02
YR04_14_DESS_prep_fc,0.56,0.85
YR04_15_DESS_prep_fc,0.58,0.93
YR04_16_DESS_prep_fc,0.55,0.86
YR04_17_DESS_prep_fc,0.64,1.09
YR04_18_DESS_prep_fc,0.5,0.79
YR04_19_DESS_prep_fc,0.68,1.28
