subjects,mean_distances,stddev_distances
001_BL_prep_fc,1.46,2.18
002_BL_prep_fc,0.92,1.46
003_BL_prep_fc,1.42,2.14
004_BL_prep_fc,1.44,2.38
005_BL_prep_fc,1.27,2.26
006_BL_prep_fc,60.98,29.79
007_BL_prep_fc,1.26,1.65
008_BL_prep_fc,1.55,2.28
009_BL_prep_fc,1.62,2.73
010_BL_prep_fc,1.18,2.59
011_BL_prep_fc,1.14,1.83
012_BL_prep_fc,1.66,2.37
013_BL_prep_fc,1.13,1.93
014_BL_prep_fc,0.95,1.6
015_BL_prep_fc,0.92,1.81
016_BL_prep_fc,0.91,1.51
017_BL_prep_fc,1.51,2.46
018_BL_prep_fc,0.96,1.66
019_BL_prep_fc,1.96,3.4
020_BL_prep_fc,1.27,2.1
021_BL_prep_fc,1.64,2.62
022_BL_prep_fc,1.89,3.07
023_BL_prep_fc,1.29,2.18
024_BL_prep_fc,5.49,7.94
025_BL_prep_fc,1.57,2.29
026_BL_prep_fc,1.35,1.84
027_BL_prep_fc,1.04,1.4
028_BL_prep_fc,1.83,2.99
029_BL_prep_fc,1.18,1.92
030_BL_prep_fc,1.79,3.99
031_BL_prep_fc,8.18,13.8
032_BL_prep_fc,1.16,1.82
033_BL_prep_fc,2.0,3.28
034_BL_prep_fc,2.05,2.84
035_BL_prep_fc,2.21,3.43
036_BL_prep_fc,0.92,1.17
037_BL_prep_fc,0.88,1.45
038_BL_prep_fc,1.17,1.91
039_BL_prep_fc,1.36,2.37
040_BL_prep_fc,1.06,1.52
041_BL_prep_fc,1.13,1.81
042_BL_prep_fc,1.26,2.06
043_BL_prep_fc,0.91,1.58
044_BL_prep_fc,1.17,2.02
045_BL_prep_fc,1.14,1.77
046_BL_prep_fc,1.24,1.94
047_BL_prep_fc,1.0,1.58
048_BL_prep_fc,0.96,1.43
049_BL_prep_fc,1.24,1.79
050_BL_prep_fc,1.35,2.32
051_BL_prep_fc,1.5,1.7
052_BL_prep_fc,0.92,1.48
053_BL_prep_fc,1.34,2.04
054_BL_prep_fc,1.02,1.59
055_BL_prep_fc,0.98,1.68
056_BL_prep_fc,1.18,1.82
057_BL_prep_fc,0.9,1.19
058_BL_prep_fc,1.03,1.6
059_BL_prep_fc,0.89,1.29
060_BL_prep_fc,1.51,2.09
061_BL_prep_fc,2.2,4.96
062_BL_prep_fc,1.29,2.16
063_BL_prep_fc,1.63,2.3
064_BL_prep_fc,1.24,1.82
065_BL_prep_fc,0.94,1.18
066_BL_prep_fc,1.09,1.81
067_BL_prep_fc,1.38,2.35
068_BL_prep_fc,1.78,2.98
069_BL_prep_fc,1.15,1.81
070_BL_prep_fc,1.69,2.78
071_BL_prep_fc,1.37,2.36
072_BL_prep_fc,1.47,2.39
073_BL_prep_fc,0.95,1.49
074_BL_prep_fc,1.15,1.68
075_BL_prep_fc,1.0,1.53
076_BL_prep_fc,1.4,1.81
077_BL_prep_fc,1.99,4.06
078_BL_prep_fc,1.34,2.38
079_BL_prep_fc,1.26,1.94
080_BL_prep_fc,1.79,3.19
081_BL_prep_fc,1.54,2.39
082_BL_prep_fc,1.12,1.62
083_BL_prep_fc,1.76,2.73
084_BL_prep_fc,1.55,2.55
085_BL_prep_fc,1.35,2.18
086_BL_prep_fc,1.56,2.39
087_BL_prep_fc,1.01,1.35
088_BL_prep_fc,1.22,1.8
