subjects,mean_distances,stddev_distances
001_FU_prep_fc,1.55,2.3
002_FU_prep_fc,0.95,1.54
003_FU_prep_fc,1.45,2.25
004_FU_prep_fc,1.51,2.52
005_FU_prep_fc,1.27,2.28
006_FU_prep_fc,61.36,30.04
007_FU_prep_fc,1.31,1.78
008_FU_prep_fc,1.23,1.86
009_FU_prep_fc,1.63,2.97
010_FU_prep_fc,1.12,2.27
011_FU_prep_fc,1.35,2.14
012_FU_prep_fc,1.8,2.63
013_FU_prep_fc,1.24,2.15
014_FU_prep_fc,0.91,1.49
015_FU_prep_fc,0.93,1.87
016_FU_prep_fc,0.85,1.41
017_FU_prep_fc,1.57,2.56
018_FU_prep_fc,1.0,1.82
019_FU_prep_fc,1.99,3.26
020_FU_prep_fc,1.25,2.12
021_FU_prep_fc,1.55,2.61
022_FU_prep_fc,1.9,3.16
023_FU_prep_fc,1.3,2.22
024_FU_prep_fc,5.58,8.2
025_FU_prep_fc,1.54,2.33
026_FU_prep_fc,1.36,1.88
027_FU_prep_fc,1.06,1.55
028_FU_prep_fc,1.61,2.67
029_FU_prep_fc,1.33,2.22
030_FU_prep_fc,1.95,4.33
031_FU_prep_fc,8.06,13.72
032_FU_prep_fc,1.23,2.13
033_FU_prep_fc,1.85,3.07
034_FU_prep_fc,2.12,3.02
035_FU_prep_fc,2.16,3.4
036_FU_prep_fc,1.01,1.43
037_FU_prep_fc,0.89,1.46
038_FU_prep_fc,1.49,2.43
039_FU_prep_fc,1.45,2.62
040_FU_prep_fc,1.07,1.62
041_FU_prep_fc,1.38,2.18
042_FU_prep_fc,1.17,1.64
043_FU_prep_fc,1.16,2.17
044_FU_prep_fc,1.45,2.54
045_FU_prep_fc,1.15,1.84
046_FU_prep_fc,1.3,2.09
047_FU_prep_fc,1.03,1.69
048_FU_prep_fc,0.93,1.34
049_FU_prep_fc,1.27,1.94
050_FU_prep_fc,1.48,2.54
051_FU_prep_fc,1.63,1.95
052_FU_prep_fc,1.01,1.55
053_FU_prep_fc,1.39,1.98
054_FU_prep_fc,0.98,1.57
055_FU_prep_fc,1.04,1.86
056_FU_prep_fc,1.29,2.06
057_FU_prep_fc,4.49,5.93
058_FU_prep_fc,1.14,1.84
059_FU_prep_fc,1.1,1.65
060_FU_prep_fc,1.64,2.42
061_FU_prep_fc,2.08,4.77
062_FU_prep_fc,1.46,2.25
063_FU_prep_fc,1.62,2.28
064_FU_prep_fc,1.41,2.14
065_FU_prep_fc,0.96,1.21
066_FU_prep_fc,1.32,2.12
067_FU_prep_fc,1.46,2.47
068_FU_prep_fc,2.11,3.37
069_FU_prep_fc,1.07,1.63
070_FU_prep_fc,1.67,2.96
071_FU_prep_fc,1.47,2.6
072_FU_prep_fc,1.49,2.38
073_FU_prep_fc,1.01,1.76
074_FU_prep_fc,1.13,1.64
075_FU_prep_fc,0.93,1.4
076_FU_prep_fc,1.74,2.29
077_FU_prep_fc,2.14,4.3
078_FU_prep_fc,1.37,2.32
079_FU_prep_fc,1.19,1.93
080_FU_prep_fc,1.9,3.74
081_FU_prep_fc,1.53,2.43
082_FU_prep_fc,1.16,1.7
083_FU_prep_fc,1.9,2.98
084_FU_prep_fc,2.81,4.1
085_FU_prep_fc,1.21,2.01
086_FU_prep_fc,1.52,2.4
087_FU_prep_fc,1.08,1.46
088_FU_prep_fc,1.16,1.58
