Subjects,averageThickness,std.dev
YR04_01_DESS_QM_fc_thickness_1,2.45,0.84
YR04_02_DESS_QM_fc_thickness_1,2.29,0.84
YR04_03_DESS_QM_fc_thickness_1,1.9,0.65
YR04_04_DESS_QM_fc_thickness_1,2.09,0.67
YR04_05_DESS_QM_fc_thickness_1,2.42,0.84
YR04_06_DESS_QM_fc_thickness_1,2.2,0.79
YR04_07_DESS_QM_fc_thickness_1,2.09,0.72
YR04_08_DESS_QM_fc_thickness_1,2.3,0.9
YR04_09_DESS_QM_fc_thickness_1,2.19,0.69
YR04_10_DESS_QM_fc_thickness_1,2.32,0.7
YR04_11_DESS_QM_fc_thickness_1,2.16,0.69
YR04_12_DESS_QM_fc_thickness_1,2.3,0.79
YR04_13_DESS_QM_fc_thickness_1,2.18,0.73
YR04_14_DESS_QM_fc_thickness_1,2.63,1.02
YR04_15_DESS_QM_fc_thickness_1,2.21,0.71
YR04_16_DESS_QM_fc_thickness_1,2.42,0.93
YR04_17_DESS_QM_fc_thickness_1,2.24,0.7
YR04_18_DESS_QM_fc_thickness_1,2.38,0.82
YR04_19_DESS_QM_fc_thickness_1,1.87,0.64
