Subjects,Volume
YR04_01_T2_0_prep_fc,14963
YR04_02_T2_0_prep_fc,12177
YR04_03_T2_0_prep_fc,10681
YR04_04_T2_0_prep_fc,11692
YR04_05_T2_0_prep_fc,13130
YR04_06_T2_0_prep_fc,5998
YR04_07_T2_0_prep_fc,11416
YR04_08_T2_0_prep_fc,13436
YR04_09_T2_0_prep_fc,13004
YR04_10_T2_0_prep_fc,16275
YR04_11_T2_0_prep_fc,10474
YR04_12_T2_0_prep_fc,13665
YR04_13_T2_0_prep_fc,12101
YR04_14_T2_0_prep_fc,15585
YR04_15_T2_0_prep_fc,14267
YR04_16_T2_0_prep_fc,13752
YR04_17_T2_0_prep_fc,13616
YR04_18_T2_0_prep_fc,13780
YR04_19_T2_0_prep_fc,10628
